Lukas Haslinger,1382.034725473,92
Daria Guseva,1316.5651167757,23
Maria Latka,0,12
Marko Lüftenegger,0,2
Jan Zanta,0,15
Mario Wildam,1356.8396074029,147
Kristina Gajta,0,15
Sergii Rykovskyi,1353.8188364792,27
Florian Wahl,1504.1003300053,83
Michel Brand,1558.1552995815,43
Noah Dörjes,0,15
Claudia Ettl,1469.2207899241,20
Katalin Felso,1260.6796527196,88
Oliver Vilim,1698.2228541661,173
Antonio Gagliardi,0,0
Tarek Alghamian,0,9
Alexander Lukas,1787.5915938788,44
Bo Sek,1439.4873890499,27
Thomas Groszschedl,0,15
Marco Macchia,0,15
Christian Gruber,1575.179133955,203
Manuel Russo,0,2
Leon Kogelnik,1579.0720613346,141
Jan Vogel,1521.0993962782,36
Roland Hess,1316.1130239584,51
Jonathan May,1619.0718627226,20
David Detre,1697.5229672885,74
Mathias Fiegl,1552.8495363637,149
Mohamad Maikari,1235.220687809,52
Stefan Knutti,1430.6041442071,105
Mike Schrepfer,1451.6112485929,29
Tibor Varsányi,1597.6908904349,28
Julia Buchegger,1237.8415726054,102
Sebastian Simhandl,1413.6564966678,81
Minyoung Bai,1562.065452116,28
Barbara Kofler,0,2
Norbert Seidl,0,3
Robin Hanke,1563.0690764787,22
Danny Warr,1200,20
Claus Cornelius,0,17
Tarek Alghamian,1445.329163072,214
Thomas Schwarzinger,1481.8250344305,60
Michal Cervenka,0,8
Pavla Faronová,0,18
Regina Schüller,0,17
Julia Rau,0,14
Patrik Landolt,1706.9039137471,23
Nico Wohlgemuth,1616.4210845125,29
Alexander Zeiner,0,4
Simon Hofstadler,1294.774812349,51
Tamás Csige,1800.0579813364,41
Sabrina Astleitner,1363.1892361625,211
Matteo Cosi,1328.1006239446,31
Isabel Körös,0,11
Johannes Brummer,1523.7158266972,52
Tjasa Kogovsek,0,17
Alexander Paschin,0,0
Steven Dünner,1525.4310045184,30
Martin Dousa,0,17
Jacek Knychala,0,19
Fauzi Itani,1504.7855841574,96
Daniel Sorger,1376.459656258,20
Dominik Wottke,0,5
Krisztián Tenke,1304.0260935122,30
Jorge Rodriguez,1411.0957385657,59
Thomas Haas,1772.7031128968,97
Michael Pollirer,1428.4508915719,76
Emanuel Pichlbauer,1643.5434030404,151
Peter Swoboda,1479.9731396425,184
Robert Atha,1804.595350608,81
Sandro Grüner,1646.5763461324,146
Richard Marsh,1602.8015596404,75
Florian Pohn-Weidinger,1523.7220551389,144
Jakob Heinreichsberger,1748.5561484241,147
Christian Rohrauer,1331.7900455955,79
Anja Schmid,1373.935744571,95
Christian Auer,1646.8201137812,75
Christian Osanger,0,1
Benjamin Struth,1671.4878794252,51
Vitali Haller,0,2
Ines Fryc,1477.6516336358,31
Ruben Heinrich,1727.429778659,38
Eduardo Codorniu,0,19
Alexander Prisching,0,2
Denis Marinkovic,1619.0649169277,85
János Szabó,1290.631673776,116
Cameo Miller-Aichholz,0,6
Janine Bücheli,1506.0201523156,66
Iveta Moore,1575.4410394139,26
Myriam Günsche,0,14
Oliver Ladra,0,11
Christian Oeffel,1448.2264140261,88
Rene Kantner,0,15
Filip Latka,1325.6350048835,56
Karl Prochaska,1322.0418925646,138
Marcus Motz,0,7
Pascal El-Fohail,0,9
Tamara Vilim,1264.1006921565,112
Jan Kurz,1222.6965317845,82
Matthias Schöpf,1692.706705819,176
My Linh Tran,1571.9213511811,49
Uwe Plaspohl,1364.2816655743,76
Kateryna Rykovska,1289.3415272589,34
Alexander Di Bello,1762.2423816513,51
Jonas Aschauer,0,7
Gerald Buksalewicz,1286.4553312331,22
Roman Schneider,1625.5800455363,21
Géza Kiss,1746.5124916398,83
Thomas Vuckovic,1326.7681442428,124
Toni Nardella,0,7
Elisabeth Kainrath,1369.298885484,170
Bersit Karadzi,1384.2591223943,37
Tomaz Coha,0,16
Roman Burmetler,1204.4087203984,22
Kevin Hundstorfer,2003.8250356903,238
Frédéric Collignon,1786.5321384241,29
Aliaksei Dunchyk,1264.9764534318,29
Anna Holzer,0,2
Beatrice Berner,1298.0279065572,109
Inan Tosun,0,10
Sárka Holomoucká,1508.387634767,20
Kai Jaeger,1254.5109306173,41
Christian Bernegger,1409.5764787337,161
Matthias Gietzen,0,10
Sahire Dogan,0,11
Adrian Gasser,1497.5759417938,106
Stephen Edwards,1429.2719038827,70
Christina Zwinger,1425.1758785781,37
Dalibor Suvajac,1641.7822901334,139
Roman Forsthuber,1368.5439227222,45
Björn Brose,1649.9687944981,26
Jaroslaw Wanatowicz,1492.0604708123,60
An Dao,1284.83293807,91
Teresa Exinger,1320.7826676774,117
Safar Safarly,1299.1107801095,28
Katharina Engel,1223.3977749491,112
Norman Christoph Waser,1274.5323268618,21
Sebastian Piso,1541.9456367501,25
Benedikt Klocker,1700.5096480511,252
Marc Schönthal,1382.228660891,92
Ivan p. Petrov,0,19
Filip Kubiatowicz,1799.3060274673,48
Kenneth Kellner,1328.4259542864,113
Gabor Hunyadi,0,16
Ivan Klenovskiy,1451.7005978907,25
Sarah Agaoglu,1284.1521937383,40
Adrian Schuler,1566.1078687701,64
Mathias Kobald,0,8
Vasco Oliveira,1312.0315970737,35
Ernst Benz,1297.1309691399,76
Cornelia Pfander,1307.5422973341,31
Philipp Mayerhofer,1526.6523045554,107
Roberto-Cristian Öhlinger,1333.2346286916,22
Marcello Manganiello,1515.1606430776,21
Phillip Kucera,1688.2818370965,139
Holly Paley,0,19
Laura Terzic,1200,110
Michèle Sutter,1513.2167324036,105
Bruno Hubacher,1228.3275586649,21
Michaela Kirchler,0,3
Fabian Jenewein,0,7
Luka Hanzlik,0,2
Adam Puzstaszegi,1633.5615235193,24
Daniela Deltl,0,11
Sahire Dogan,1246.7291959961,31
Francisco Burgener,1321.8473759104,30
Cornelia Herger,1230.0851564625,101
Dave Oates,1325.4350952407,22
Martin Redl,0,17
Markus Birringer,1535.1419640789,157
Andreas Angerer,0,15
Laura Edlmayr,1249.243625604,176
Karol Kwiatkowski,1200,21
Helmut Hanekamp,0,10
Jolanda Scheidegger,1205.0519167985,90
Daniel Morgenthaler,0,18
Christoph Giera,1347.8630083769,295
Michael Barg,1538.1133531322,34
Ahmed Ali,0,15
Rene Heiss,0,4
David Janecka,1363.1550049357,20
Alexander Petroczko,1635.4465543258,181
Andrey Kolyshkin,1393.338247196,48
Ekaterina Atanasova,0,19
